reviewer_id,review_count,avg_rating,spam_count,avg_fraud_score,mismatch_count
ByGMD,2,5.0,2,0.7,0
ByKelly,2,1.0,2,0.7,0
Byeverett blair,2,5.0,2,0.7,0
ByBen Dubin,2,5.0,2,0.7,0
ByBC,2,5.0,2,0.7,0
ByCarlos Velasquez,2,5.0,2,0.7,0
ByDelete,2,5.0,2,0.7,0
ByDavid Misosky,2,5.0,2,0.7,0
Bylithfuller,2,5.0,2,0.7,0
Byvanessa bell,2,5.0,2,0.7,0
williamwoodall7,2,5.0,2,0.7,0
AJ337,2,5.0,2,0.7,0
ByMamma in Nebraska,2,5.0,2,0.7,0
ByORMOZD,2,5.0,2,0.7,0
JoeW,2,5.0,2,0.7,0
Momof4,3,5.0,3,0.6999999999999998,0
ByScott,4,5.0,3,0.6499999999999999,0
ByAmanda,2,3.0,1,0.6,0
ByLinda,2,5.0,1,0.6,0
Blue2u23,2,5.0,1,0.6,0
ByAlexis,2,5.0,1,0.6,0
ByBB,2,5.0,1,0.6,0
ByMichael,4,4.0,2,0.6,0
Peggy,2,5.0,1,0.6,0
April,2,5.0,1,0.6,0
ByRuss,2,5.0,1,0.6,0
ByDave,2,5.0,1,0.6,0
ByEmily,2,5.0,1,0.6,0
sammy,2,5.0,1,0.6,0
Grant,2,5.0,1,0.6,0
ByChris,3,3.6666666666666665,1,0.5666666666666667,0
dave,3,5.0,1,0.5666666666666667,0
Frank,4,5.0,1,0.55,0
ycart,2,5.0,0,0.5,0
music2015,3,5.0,0,0.5,0
1254,2,5.0,0,0.5,0
randomA2resident,2,5.0,0,0.5,0
richard,2,5.0,0,0.5,0
deadlifter,2,5.0,0,0.5,0
familyoflots,2,5.0,0,0.5,0
horacio,2,5.0,0,0.5,0
jdag,2,5.0,0,0.5,0
jtbenjam1,2,5.0,0,0.5,0
jdub2857,2,5.0,0,0.5,0
julian,2,5.0,0,0.5,0
keepingthelightson,2,5.0,0,0.5,0
Bigapple,2,5.0,0,0.5,0
Azjeff4545,3,5.0,0,0.5,0
Barbara,2,5.0,0,0.5,0
Bestbuyfan,3,5.0,0,0.5,0
Blondie,2,5.0,0,0.5,0
BillyBob,2,5.0,0,0.5,0
Angel,2,5.0,0,0.5,0
Angfoo,2,5.0,0,0.5,0
nhn045,2,5.0,0,0.5,0
Angie,5,4.2,0,0.5,0
Anne,3,5.0,0,0.5,0
Annie,2,5.0,0,0.5,0
Blue,2,5.0,0,0.5,0
BobbyDigtal,2,5.0,0,0.5,0
BobbyG,2,5.0,0,0.5,0
Bturner,2,5.0,0,0.5,0
Zumbaqueen,2,5.0,0,0.5,0
conman,3,5.0,0,0.5,0
butterfky,2,5.0,0,0.5,0
ccdriver1099,2,5.0,0,0.5,0
bigred268504,2,5.0,0,0.5,0
andreselrey112,2,5.0,0,0.5,0
aaron,2,5.0,0,0.5,0
brent,3,5.0,0,0.5,0
Vincent,2,5.0,0,0.5,0
Wayne,2,5.0,0,0.5,0
Bulldog,2,5.0,0,0.5,0
ByAmanda Chafin,2,5.0,0,0.5,0
ByChristopher McGuir,2,5.0,0,0.5,0
ByDaniel,3,3.6666666666666665,0,0.5,0
ByCheap Chrissy,2,5.0,0,0.5,0
ByBrian,2,5.0,0,0.5,0
Blonger,2,5.0,0,0.5,0
Xaso,2,5.0,0,0.5,0
Bubba,2,5.0,0,0.5,0
Will,3,3.6666666666666665,0,0.5,0
ByLeah P,2,5.0,0,0.5,0
Terry,6,5.0,0,0.5,0
Tisdale0504,2,5.0,0,0.5,0
Vicki,2,5.0,0,0.5,0
ByJames E Thornock,2,5.0,0,0.5,0
ByGradyP,2,5.0,0,0.5,0
Trey,2,3.0,0,0.5,0
VICKIW,2,5.0,0,0.5,0
Tony,3,5.0,0,0.5,0
mary,2,5.0,0,0.5,0
kimmy,2,5.0,0,0.5,0
reader,2,5.0,0,0.5,0
AvidReader,2,5.0,0,0.5,0
Audra,2,5.0,0,0.5,0
Aud1,2,5.0,0,0.5,0
AsianTechGuy,2,5.0,0,0.5,0
12345,2,5.0,0,0.5,0
1244,2,5.0,0,0.5,0
zeiferx,2,5.0,0,0.5,0
1206,2,5.0,0,0.5,0
ByU M,2,5.0,0,0.5,0
ByTashina amp Chris,2,5.0,0,0.5,0
ByYami,2,5.0,0,0.5,0
Taylor,2,5.0,0,0.5,0
Tammy,2,5.0,0,0.5,0
Sunshine,2,5.0,0,0.5,0
Stern,2,5.0,0,0.5,0
Stan,3,5.0,0,0.5,0
Techgirl,2,5.0,0,0.5,0
Teagq,2,5.0,0,0.5,0
Terri,2,5.0,0,0.5,0
Captainrolo,2,5.0,0,0.5,0
Chavez,2,5.0,0,0.5,0
Chanel,2,5.0,0,0.5,0
ByMichael C. Burrell,2,5.0,0,0.5,0
ByRobert,2,5.0,0,0.5,0
Sarah,3,5.0,0,0.5,0
Sandilopez,2,5.0,0,0.5,0
SamF,2,5.0,0,0.5,0
SDgeek,2,5.0,0,0.5,0
RoseB,2,5.0,0,0.5,0
Darkanqei,2,1.0,0,0.5,0
Daniel,3,5.0,0,0.5,0
Daisy,2,5.0,0,0.5,0
Craig,2,5.0,0,0.5,0
Cornell,2,5.0,0,0.5,0
Conan,2,5.0,0,0.5,0
CaptainEO,2,5.0,0,0.5,0
CJTHERAINMAKER,2,5.0,0,0.5,0
ByMizlinn,2,5.0,0,0.5,0
Cinder12,2,5.0,0,0.5,0
Cheryl,3,5.0,0,0.5,0
Raulie21,2,5.0,0,0.5,0
Reader,2,5.0,0,0.5,0
Ricardo1agui,2,5.0,0,0.5,0
RCollins912,2,5.0,0,0.5,0
ProudOwner,2,5.0,0,0.5,0
Elaine,2,5.0,0,0.5,0
QuesoPie,2,5.0,0,0.5,0
RAFAEL49,2,5.0,0,0.5,0
Dylanika,2,5.0,0,0.5,0
Dqueen,2,5.0,0,0.5,0
Dh12,2,5.0,0,0.5,0
Doug,2,5.0,0,0.5,0
Debm05,2,5.0,0,0.5,0
Dawn,2,5.0,0,0.5,0
Earl123,2,5.0,0,0.5,0
PurpleRoz,2,5.0,0,0.5,0
Pete,5,5.0,0,0.5,0
Princess,2,5.0,0,0.5,0
Nino,2,5.0,0,0.5,0
Peanut,2,5.0,0,0.5,0
Nana,9,5.0,0,0.5,0
Frumius,2,5.0,0,0.5,0
Ferchis,2,5.0,0,0.5,0
Patty,2,5.0,0,0.5,0
Erica,3,5.0,0,0.5,0
Emack90,3,5.0,0,0.5,0
MrLemonjello,2,5.0,0,0.5,0
Robert,6,5.0,0,0.5,0
Robbin,2,5.0,0,0.5,0
Sissy,3,5.0,0,0.5,0
Shopper,4,5.0,0,0.5,0
Shell,2,5.0,0,0.5,0
MimiBabygirl,2,5.0,0,0.5,0
Mindy,2,5.0,0,0.5,0
Mitch,2,5.0,0,0.5,0
Momof3,2,5.0,0,0.5,0
Momof5,2,3.0,0,0.5,0
Mimi,2,5.0,0,0.5,0
Heed,2,5.0,0,0.5,0
Miguel0523,2,5.0,0,0.5,0
Goberian,3,5.0,0,0.5,0
Gingyd,2,5.0,0,0.5,0
Gator,2,5.0,0,0.5,0
Meche,2,5.0,0,0.5,0
Heather,2,5.0,0,0.5,0
Grandma,3,5.0,0,0.5,0
Gram,2,5.0,0,0.5,0
Gordon,2,5.0,0,0.5,0
LoveToShop,2,5.0,0,0.5,0
Lou8,2,5.0,0,0.5,0
Jenna,2,5.0,0,0.5,0
Jayspaceman35,2,5.0,0,0.5,0
JandM,2,5.0,0,0.5,0
Jackson,2,5.0,0,0.5,0
Ixoye,2,5.0,0,0.5,0
Hunter,2,5.0,0,0.5,0
Hermosa,3,5.0,0,0.5,0
Lizzy,2,5.0,0,0.5,0
Linda,2,5.0,0,0.5,0
LeeLee,2,5.0,0,0.5,0
Maxi,2,5.0,0,0.5,0
Marc,3,3.6666666666666665,0,0.5,0
Mags,2,5.0,0,0.5,0
MIKE29,2,5.0,0,0.5,0
KitKat,4,5.0,0,0.5,0
Kris,4,5.0,0,0.5,0
Ksdad16,2,5.0,0,0.5,0
Kurt,3,5.0,0,0.5,0
Kath,2,5.0,0,0.5,0
King,2,5.0,0,0.5,0
Kenny4777,2,5.0,0,0.5,0
Kevinandkalii,2,5.0,0,0.5,0
Judy,2,5.0,0,0.5,0
Jonathan,2,5.0,0,0.5,0
Johnnie,2,5.0,0,0.5,0
Joey,2,5.0,0,0.5,0
Joe N,2,5.0,0,0.5,0
Karen,2,5.0,0,0.5,0
JusandLa,2,5.0,0,0.5,0
KellyC,2,5.0,0,0.5,0
24Brent,2,5.0,0,0.5,0
Jesse,3,5.0,0,0.5,0
Jobie,2,5.0,0,0.5,0
usbuser128gb,2,5.0,0,0.5,0
tinkerbell,2,5.0,0,0.5,0
staffmeeting,2,5.0,0,0.5,0
skypilot52,2,5.0,0,0.5,0
wallymich,2,5.0,0,0.5,0
sg77,2,5.0,0,0.5,0
robert,2,5.0,0,0.5,0
AllisonS,2,5.0,0,0.5,0
Allan,2,5.0,0,0.5,0
69chopper,2,5.0,0,0.5,0
6392,2,5.0,0,0.5,0
3boyscdd,2,5.0,0,0.5,0
2roudyboys,2,5.0,0,0.5,2
LMHagood,2,4.0,2,0.4,0
Junior,2,4.5,1,0.30000000000000004,0
Jeff,2,4.5,1,0.30000000000000004,0
ByBill,2,4.5,1,0.30000000000000004,0
ByAmazon Customer,64,4.1875,32,0.30000000000000004,0
Benjamin,4,4.5,2,0.30000000000000004,0
ByJohn,2,3.5,1,0.30000000000000004,0
ByElizabeth,2,4.0,1,0.30000000000000004,0
Byjohn,2,4.5,1,0.30000000000000004,0
ByEric,2,3.5,1,0.30000000000000004,0
HappyCustomer,2,5.0,0,0.3,0
Lulu,3,5.0,0,0.3,0
Kimber,2,5.0,0,0.3,0
Kindle,3,5.0,0,0.3,0
Kevin,3,5.0,0,0.3,0
Larry,2,5.0,0,0.3,0
MegC,2,5.0,0,0.3,0
dbones,2,5.0,0,0.3,0
apflores413,2,5.0,0,0.3,0
Eddie,2,5.0,0,0.3,0
Curly77,2,5.0,0,0.3,0
Omnos,2,5.0,0,0.3,0
TexasMaggie,2,5.0,0,0.3,0
Bubdalina,2,5.0,0,0.3,0
Wendy,2,5.0,0,0.3,0
Natty,2,5.0,0,0.3,0
ragbad,2,5.0,0,0.3,0
gracie,2,5.0,0,0.3,0
Branster88,2,5.0,0,0.3,0
kindlefire,2,5.0,0,0.3,0
Mommyof4,3,4.666666666666667,1,0.26666666666666666,0
ByKindle Customer,8,4.125,2,0.25,0
Susan,4,4.25,1,0.25,0
Josh,4,4.5,1,0.25,0
Chris,10,4.5,1,0.22000000000000003,0
Lyric,3,4.333333333333333,0,0.20000000000000004,0
Hank,3,4.333333333333333,0,0.20000000000000004,0
Lena,3,4.333333333333333,0,0.20000000000000004,0
Jojo,3,4.666666666666667,0,0.20000000000000004,0
John,6,4.666666666666667,0,0.20000000000000004,0
Dwight,3,4.666666666666667,0,0.20000000000000004,0
Sunny,3,4.666666666666667,0,0.20000000000000004,0
George,3,4.666666666666667,0,0.20000000000000004,0
Flash,3,4.333333333333333,0,0.20000000000000004,0
Andrew,3,4.666666666666667,0,0.20000000000000004,0
Brad,3,4.666666666666667,0,0.20000000000000004,1
David,6,4.666666666666667,0,0.20000000000000004,0
Sher,3,4.0,0,0.20000000000000004,0
Brian,3,4.333333333333333,0,0.20000000000000004,0
GD23,3,4.0,0,0.20000000000000004,0
Gary,6,4.666666666666667,0,0.20000000000000004,0
Rich,6,4.666666666666667,0,0.20000000000000004,0
DeDe,3,2.6666666666666665,0,0.20000000000000004,0
Danny,6,4.666666666666667,0,0.20000000000000004,0
Dana,3,4.333333333333333,0,0.20000000000000004,0
Rose,3,4.0,0,0.20000000000000004,0
psychostud,3,4.0,0,0.20000000000000004,0
grandma,3,4.333333333333333,0,0.20000000000000004,0
BenNguyen,3,4.0,0,0.20000000000000004,0
Anonymous,6,4.666666666666667,0,0.20000000000000004,0
Kimmy,3,4.666666666666667,0,0.20000000000000004,0
Jenco,3,4.0,0,0.20000000000000004,0
Jenn,3,4.666666666666667,0,0.20000000000000004,0
Kelley,3,4.333333333333333,0,0.20000000000000004,0
riwa,3,4.0,0,0.20000000000000004,0
mike,3,4.666666666666667,0,0.20000000000000004,0
Buyer,3,4.666666666666667,0,0.20000000000000004,0
FMOM,2,4.0,0,0.2,0
tony,2,4.0,0,0.2,0
thompsopaul,2,4.0,0,0.2,0
Eric,5,4.6,0,0.2,0
FGVargas,2,3.0,0,0.2,0
Jessica,2,4.5,0,0.2,0
Alexa,4,4.25,0,0.2,0
Andrea,2,4.5,0,0.2,0
Amanda,4,3.5,0,0.2,0
Allison,2,4.0,0,0.2,0
Adarsh,2,3.0,0,0.2,0
Alex,9,4.333333333333333,0,0.2,0
Adam,2,4.5,0,0.2,0
95ford,2,4.0,0,0.2,0
Bkemtp,2,3.0,0,0.2,0
Bill,9,4.666666666666667,0,0.2,0
Bentley,2,4.5,0,0.2,0
Zack,2,4.0,0,0.2,0
William,2,4.5,0,0.2,0
Buddy,2,4.5,0,0.2,0
Willie,2,4.5,0,0.2,0
XJantics,2,3.0,0,0.2,0
Bobby,2,4.0,0,0.2,0
Clueless1,2,4.0,0,0.2,0
Melissa,2,4.5,0,0.2,0
Mickey,4,3.5,0,0.2,0
Michelle,7,4.857142857142857,0,0.2,0
Mojavejan,2,4.0,0,0.2,0
Mike,14,4.285714285714286,0,0.2,0
Estill,2,4.0,0,0.2,0
Mandy,2,4.5,0,0.2,0
MSfromSanDiego,2,3.0,0,0.2,0
Maria,2,4.5,0,0.2,0
Gmom,2,4.0,0,0.2,0
Matt,7,4.714285714285714,0,0.2,0
Marco,2,4.5,0,0.2,0
Mateo,2,3.0,0,0.2,0
Gigi,2,4.5,0,0.2,0
Icouldabeenageek,2,3.0,0,0.2,0
J2hott23,2,4.0,0,0.2,0
Lisa,5,4.8,0,0.2,0
HonestReview,2,4.0,0,0.2,0
Jennie,2,4.0,0,0.2,0
G8rgrad98,2,4.0,0,0.2,0
FixieRider,2,3.0,0,0.2,0
Freebap36,2,3.5,0,0.2,0
Juju,4,4.75,0,0.2,0
Lori,5,4.4,0,0.2,0
JoJo,2,4.5,0,0.2,0
Jose,4,4.5,0,0.2,0
JustinJales,2,3.0,0,0.2,0
Kathy,4,4.75,0,0.2,0
Kara,2,4.5,0,0.2,0
James,5,4.4,0,0.2,0
Krista,2,4.0,0,0.2,0
scobby9709,2,4.0,0,0.2,0
strick,2,4.0,0,0.2,0
CeeCee,2,4.5,0,0.2,0
Robert2442,2,4.0,0,0.2,0
Rachel,2,4.0,0,0.2,0
Dani,2,4.5,0,0.2,0
Cuchueion,2,3.0,0,0.2,0
Steve,10,4.6,0,0.2,0
Swami,2,4.0,0,0.2,0
Steph,2,4.5,0,0.2,0
Devonna,2,4.0,0,0.2,0
Nicole,2,4.5,0,0.2,0
Paul,2,4.5,0,0.2,0
Renee,2,4.5,0,0.2,0
Dubber,2,4.0,0,0.2,0
Courtney,2,4.5,0,0.2,0
Coach,2,4.5,0,0.2,0
Dbasi,2,4.0,0,0.2,2
Nick,8,4.875,0,0.2,0
Denise,2,4.5,0,0.2,0
Muzz2160,2,4.0,0,0.2,0
Naveen,2,4.5,0,0.2,0
MusicLover,2,4.0,0,0.2,0
reviewfortherewardsp,2,4.0,0,0.2,0
Auburngirl65,2,4.0,0,0.2,0
Ashley,2,4.5,0,0.2,0
Bensonrt,2,4.0,0,0.2,0
BLreview,2,3.0,0,0.2,0
Barb,2,4.5,0,0.2,0
AngelicByrd,2,4.0,0,0.2,0
Andy,2,4.5,0,0.2,0
richsfamily,2,4.0,0,0.2,0
Brandy,2,4.5,0,0.2,0
ByTricia,2,2.0,0,0.2,0
Scott,4,4.5,0,0.2,0
ChloeLynn9,2,4.0,0,0.2,0
Steven,2,4.5,0,0.2,0
TechToys,2,4.0,0,0.2,0
Teacher,2,4.0,0,0.2,0
Ruth,2,4.5,0,0.2,0
Sammy,2,4.5,0,0.2,0
Sabrina,2,4.5,0,0.2,0
Sammie,2,4.5,0,0.2,0
Danie8701,2,4.0,0,0.2,0
Sandy,4,4.75,0,0.2,0
Samsungtv22222222,2,3.0,0,0.2,0
Candy,2,4.5,0,0.2,0
Brooklyn,2,4.5,0,0.2,0
Brenda,2,4.0,0,0.2,0
Weiser,2,4.0,0,0.2,0
Tommy,2,4.5,0,0.2,0
ByJessica,2,3.5,0,0.2,0
ByFred Bullock,2,4.0,0,0.2,0
Tweekem,2,4.0,0,0.2,0
Timothy,2,4.5,0,0.2,0
1PUNKANGEL,2,4.0,0,0.2,0
rich,2,4.5,0,0.2,0
mikefree,2,4.0,0,0.2,0
BB808,2,4.0,0,0.2,0
jimtech,2,4.0,0,0.2,0
joeshrub,2,4.0,0,0.2,0
fullman,2,4.0,0,0.2,0
emma,2,4.5,0,0.2,0
BG21,2,4.0,0,0.2,0
Amazon Customer,4,3.75,2,0.1,0
satvel,2,4.0,0,0.0,0
Happy,5,4.4,0,0.0,0
Longbeach5150,2,3.0,0,0.0,0
Kipp,2,4.0,0,0.0,0
LadyNixie,2,4.0,0,0.0,0
Jess,2,4.5,0,0.0,0
Molly,2,4.0,0,0.0,0
Jerry,2,2.5,0,0.0,0
Gonzolean,2,4.0,0,0.0,0
Cindy,3,4.333333333333333,0,0.0,0
Dave,8,4.625,0,0.0,0
Gamer,2,4.5,0,0.0,0
Rick,9,4.888888888888889,0,0.0,0
Diana,3,4.333333333333333,0,0.0,0
Nikki,5,4.0,0,0.0,0
Chrissy,3,4.666666666666667,0,0.0,0
Carlos,4,4.75,0,0.0,0
Charles,3,4.666666666666667,0,0.0,0
bird,2,4.0,0,0.0,0
Trish,2,4.0,0,0.0,0
TimothyDon,2,4.0,0,0.0,0
meme,3,4.333333333333333,0,0.0,0
